,Name,batter,bat_speed_90th,bat_speed_80th,bat_speed_std,swing_length_coefficient,swing_length_pvalue,contact_coefficient,contact_pvalue,contact_r2,estimated_woba_50th_percentile,estimated_woba_75th_percentile,estimated_woba_per_swing_top50,estimated_woba_per_swing_top25,swing_count,average_bat_speed,diff_between_wobacon_woba_50,diff_between_wobacon_woba_25
46,willy adames,642715,77.5148627907716,76.2272302633073,6.066676782039035,8.924917719035427,1.6784350104260208e-278,1.1514221195586685,1.5917976517713457e-155,0.9753398041606678,0.38610294117647065,0.4453513513513514,0.1823263888888889,0.22886111111111113,289.0,72.50995553049785,0.20377655228758174,0.21649024024024027
47,wyatt langford,694671,77.5815200018549,76.41280784810431,6.0365249439197095,10.695971190640773,6.600226650126254e-176,1.095100713478278,1.3661011618487224e-103,0.9664229216017064,0.32562499999999994,0.32055555555555554,0.14313186813186812,0.1282222222222222,183.0,72.43524718242956,0.18249313186813182,0.19233333333333333
48,joey gallo,608336,77.18612844901492,76.00135393324543,6.283115741455808,9.869953594795907,5.285964206820671e-136,1.1313958434661913,1.3131029591047651e-48,0.9742897083245826,0.5398695652173913,0.5439999999999999,0.19401562499999997,0.238,129.0,72.38292405625306,0.3458539402173913,0.30599999999999994
49,brent rooker,667670,77.7757192533275,76.32691915503311,6.6996510764157975,10.027837031400788,1.506808184504904e-165,1.1477633806845504,3.958067144615277e-99,0.9745623376199732,0.6859772727272728,0.9126923076923077,0.3280760869565218,0.5158695652173914,184.0,72.38176602334346,0.35790118577075103,0.39682274247491633
50,teoscar hernández,606192,79.0430073663265,77.10779428276659,7.468421562852228,9.441146064986182,1.570111780031744e-280,1.1439821637655077,8.755535850949535e-128,0.9628507645363054,0.384,0.37487878787878787,0.18189473684210528,0.18743939393939393,267.0,72.32598531452416,0.20210526315789473,0.18743939393939393
51,luke raley,670042,77.97883997574141,76.7976952877597,8.544917627763645,9.902024039800953,2.3021769544214018e-121,1.1192892111255361,9.258666967259448e-64,0.9692248356010196,0.26676470588235296,0.252,0.13742424242424242,0.13745454545454544,132.0,72.31073518963497,0.12934046345811054,0.11454545454545456
52,andy pages,681624,78.43634338342886,75.93983604631444,6.253842686932418,9.167558593988202,6.586775289011799e-188,1.1178072895435747,3.5999840951008725e-105,0.9735135230795204,0.43310810810810807,0.5007727272727274,0.16868421052631577,0.23440425531914896,191.0,72.29880092999227,0.2644238975817923,0.2663684719535784
53,spencer torkelson,679529,77.1584440948917,76.04060201169135,5.904137360779812,9.740052304266813,5.547718853815276e-239,1.1479468323961664,3.2003559161648285e-131,0.9711040801638616,0.24567647058823527,0.2826585365853658,0.1347258064516129,0.18691935483870967,249.0,72.27595888071619,0.11095066413662238,0.09573918174665616
54,salvador pérez,521692,77.58452563599728,76.16384901028081,5.421929058534816,8.921194564732113,3.3696835341331195e-247,1.1777151748808443,7.321395878443696e-163,0.9771856597779023,0.5046764705882353,0.5678055555555557,0.2599848484848485,0.30971212121212127,265.0,72.24945269704897,0.2446916221033868,0.2580934343434344
55,joc pederson,592626,79.18294951334246,77.47031838213996,8.454984826953137,9.611613365982329,2.2817943415051236e-161,1.1738426014053553,6.272593533638882e-92,0.9728726416017265,0.43,0.3712105263157895,0.17096385542168674,0.17202439024390243,167.0,72.24131888284897,0.25903614457831325,0.19918613607188707
56,shea langeliers,669127,76.98062231024382,76.26849925933406,6.091692028965408,10.043077121264394,2.7708435700688525e-201,1.184668001563384,2.0723286411267147e-107,0.967351466456807,0.49211320754716975,0.6233928571428571,0.25570588235294117,0.3422549019607843,205.0,72.18292139009839,0.23640732519422858,0.2811379551820728
57,j. t. realmuto,592663,78.48250590088954,76.70853790512373,6.659871042807595,9.512119682716207,2.8551472486641405e-228,1.1427814740986684,1.8006453590663664e-130,0.9686200398725275,0.43213461538461534,0.5442173913043478,0.18571074380165287,0.20861666666666664,243.0,72.15559178677657,0.24642387158296247,0.3356007246376811
58,colton cowser,681297,78.40364832139063,76.99269688350094,8.58874321140767,10.319513534176954,3.9096074849198814e-175,1.1518175318852042,1.409723998777071e-111,0.9775894531800107,0.5281860465116279,0.6082272727272727,0.22266666666666665,0.2623725490196078,204.0,72.1365338151774,0.30551937984496125,0.3458547237076649
59,manny machado,592518,78.43005114790319,77.18986379758265,9.170504581698673,9.507043695198409,4.0204354436942066e-215,1.1464644587963497,4.564146208557515e-122,0.9691890176420856,0.3890172413793103,0.3388387096774194,0.19121186440677965,0.17803389830508476,236.0,72.13234899750553,0.19780537697253067,0.16080481137233466
60,jake bauers,641343,77.63661940702175,76.13661638528727,7.874157607570532,9.6228037566157,5.6322332639179825e-126,1.1157406410822859,2.1898582618441844e-67,0.967699879434362,0.4291666666666667,0.7038823529411764,0.23059701492537316,0.3626060606060606,134.0,72.0940017182992,0.19856965174129354,0.3412762923351158
61,iván herrera,671056,78.27031413811117,75.92494543378977,5.885259256352415,9.41121003462431,5.274978151071149e-142,1.1719175985096164,5.156562018933402e-77,0.9697403032797401,0.414875,0.43782352941176467,0.19240579710144928,0.21891176470588233,139.0,72.06703748378902,0.2224692028985507,0.21891176470588233
